qseqid	sseqid	pident	length	evalue	bitscore
sp|A0PJX2|TLDC2_HUMAN	sp|Q08952|OXR1_YEAST	29.843	191	8.95e-18	77.4
sp|A1X283|SPD2B_HUMAN	sp|P29366|BEM1_YEAST	31.858	113	1.9e-10	62.4
sp|A2PYH4|HFM1_HUMAN	sp|P51979|HFM1_YEAST	36.608	743	1.03e-139	457.0
sp|A4D1U4|DEN11_HUMAN	sp|P36090|ANR2_YEAST	23.795	332	2e-11	63.9
sp|A4D2P6|GRD2I_HUMAN	sp|P41832|BNI1_YEAST	23.515	404	1.49e-17	86.7
sp|A5YKK6|CNOT1_HUMAN	sp|P25655|NOT1_YEAST	27.326	688	3.23e-62	234.0
sp|A6H8Y1|BDP1_HUMAN	sp|P46678|TFC5_YEAST	33.577	137	4.33e-16	82.4
sp|A6NDG6|PGP_HUMAN	sp|P19881|PNPP_YEAST	31.148	305	2.3299999999999997e-46	157.0
sp|A6NDY0|EPAB2_HUMAN	sp|P40561|SGN1_YEAST	34.694	147	4.0500000000000005e-21	87.8
sp|A6NFY7|SDHF1_HUMAN	sp|Q3E785|SDHF1_YEAST	35.938	64	3.6e-06	40.0
sp|A6NJL1|ZSA5B_HUMAN	sp|P41696|AZF1_YEAST	42.742	124	8.86e-29	118.0
sp|A6NK58|LIPT2_HUMAN	sp|Q06005|LIPB_YEAST	29.082	196	6.28e-21	87.4
sp|A6NKG5|RTL1_HUMAN	sp|Q7LHG5|YI31B_YEAST	24.735	283	1.2e-18	90.5
sp|A7KAX9|RHG32_HUMAN	sp|P39083|RGA1_YEAST	28.319	226	1.61e-20	97.1
sp|A8MPP1|D11L8_HUMAN	sp|P22516|CHL1_YEAST	32.068	948	1.9499999999999999e-140	437.0
sp|B5ME19|EIFCL_HUMAN	sp|P32497|EIF3C_YEAST	31.365	542	1.12e-71	251.0
sp|O00160|MYO1F_HUMAN	sp|Q04439|MYO5_YEAST	40.595	1143	0.0	773.0
sp|O00161|SNP23_HUMAN	sp|P40357|SEC9_YEAST	36.471	85	7.35e-06	43.9
sp|O00231|PSD11_HUMAN	sp|Q12377|RPN6_YEAST	45.361	388	3.11e-113	337.0
sp|O00232|PSD12_HUMAN	sp|Q12250|RPN5_YEAST	41.124	445	6.19e-118	350.0
sp|O00233|PSMD9_HUMAN	sp|P40555|PSMD9_YEAST	37.056	197	5.460000000000001e-37	127.0
sp|O00244|ATOX1_HUMAN	sp|P38636|ATX1_YEAST	42.623	61	2.92e-08	43.9
sp|O00264|PGRC1_HUMAN	sp|Q12091|DAP1_YEAST	41.221	131	4.28e-27	98.6
sp|O00267|SPT5H_HUMAN	sp|P27692|SPT5_YEAST	30.299	736	2.3600000000000002e-73	262.0
sp|O00311|CDC7_HUMAN	sp|P06243|CDC7_YEAST	37.989	179	1.87e-31	125.0
sp|O00400|ACATN_HUMAN	sp|P38318|YB70_YEAST	31.022	548	2.1600000000000002e-86	276.0
sp|O00410|IPO5_HUMAN	sp|P32337|IMB3_YEAST	29.865	1038	2.91e-129	419.0
sp|O00411|RPOM_HUMAN	sp|P13433|RPOM_YEAST	40.611	655	3.2e-151	488.0
sp|O00429|DNM1L_HUMAN	sp|P54861|DNM1_YEAST	45.195	770	0.0	629.0
sp|O00471|EXOC5_HUMAN	sp|Q06245|SEC10_YEAST	24.907	269	3.45e-19	90.5
sp|O00487|PSDE_HUMAN	sp|P43588|RPN11_YEAST	65.484	310	1.11e-140	397.0
sp|O00488|ZN593_HUMAN	sp|Q08004|BUD20_YEAST	41.304	92	4.74e-17	71.2
sp|O00506|STK25_HUMAN	sp|P38692|KIC1_YEAST	50.719	278	6.74e-87	284.0
sp|O00519|FAAH1_HUMAN	sp|P22580|AMDY_YEAST	26.679	551	1.02e-30	124.0
sp|O00541|PESC_HUMAN	sp|P53261|PESC_YEAST	42.457	464	8.18e-125	378.0
sp|O00566|MPP10_HUMAN	sp|P47083|MPP10_YEAST	28.257	545	5.98e-39	150.0
sp|O00567|NOP56_HUMAN	sp|Q12460|NOP56_YEAST	54.214	439	2.4e-162	471.0
sp|O00584|RNT2_HUMAN	sp|Q02933|RNY1_YEAST	30.769	156	4.72e-10	57.4
sp|O00623|PEX12_HUMAN	sp|Q04370|PEX12_YEAST	24.138	348	7.030000000000001e-21	90.9
sp|O00628|PEX7_HUMAN	sp|P39108|PEX7_YEAST	30.027	373	1.51e-48	164.0
sp|O00743|PPP6_HUMAN	sp|P20604|PP11_YEAST	65.385	286	9.26e-145	407.0
sp|O00757|F16P2_HUMAN	sp|P09201|F16P_YEAST	45.21	334	8.46e-102	301.0
sp|O00762|UBE2C_HUMAN	sp|P52492|UBC11_YEAST	62.791	129	7.81e-53	164.0
sp|O00763|ACACB_HUMAN	sp|Q00955|ACAC_YEAST	46.085	2248	0.0	1905.0
sp|O00764|PDXK_HUMAN	sp|P39988|BUD16_YEAST	36.364	308	1.21e-57	186.0
sp|O00767|SCD_HUMAN	sp|P21147|ACO1_YEAST	36.63	273	1.03e-59	198.0
sp|O14530|TXND9_HUMAN	sp|Q04004|PLP1_YEAST	31.522	184	1.7400000000000003e-21	87.0
sp|O14561|ACPM_HUMAN	sp|P32463|ACPM_YEAST	45.238	84	2.4e-17	71.6
sp|O14595|CTDS2_HUMAN	sp|Q07949|PSR2_YEAST	54.595	185	1.6600000000000002e-70	220.0
sp|O14638|ENPP3_HUMAN	sp|P25353|NPP1_YEAST	26.419	458	1.07e-36	146.0
sp|O14647|CHD2_HUMAN	sp|P32657|CHD1_YEAST	35.973	1351	0.0	717.0
sp|O14662|STX16_HUMAN	sp|Q08144|TLG2_YEAST	27.574	272	6.63e-22	93.2
sp|O14734|ACOT8_HUMAN	sp|P41903|PTE1_YEAST	26.22	328	5.73e-25	101.0
sp|O14735|CDIPT_HUMAN	sp|P06197|PIS_YEAST	39.437	213	1.23e-45	149.0
sp|O14737|PDCD5_HUMAN	sp|Q04773|YMW4_YEAST	29.365	126	1.49e-10	53.1
sp|O14744|ANM5_HUMAN	sp|P38274|HSL7_YEAST	27.246	679	4.58e-71	244.0
sp|O14746|TERT_HUMAN	sp|Q06163|TERT_YEAST	21.8	711	3.45e-21	98.2
sp|O14757|CHK1_HUMAN	sp|P38147|CHK1_YEAST	29.002	531	1.62e-51	181.0
sp|O14775|GNB5_HUMAN	sp|P18851|GBB_YEAST	35.024	414	4.27e-81	253.0
sp|O14777|NDC80_HUMAN	sp|P40460|NDC80_YEAST	26.302	384	3.23e-23	102.0
sp|O14802|RPC1_HUMAN	sp|P04051|RPC1_YEAST	50.943	1431	0.0	1415.0
sp|O14818|PSA7_HUMAN	sp|P40303|PSA4_YEAST	58.798	233	4.83e-99	287.0
sp|O14841|OPLA_HUMAN	sp|P28273|OPLA_YEAST	48.012	1308	0.0	1198.0
sp|O14874|BCKD_HUMAN	sp|P40530|PDK1_YEAST	29.221	308	1.3500000000000002e-32	125.0
sp|O14925|TIM23_HUMAN	sp|P32897|TIM23_YEAST	27.368	190	8.46e-12	60.1
sp|O14929|HAT1_HUMAN	sp|Q12341|HAT1_YEAST	25.18	417	1.67e-31	121.0
sp|O14939|PLD2_HUMAN	sp|P36126|SPO14_YEAST	39.196	597	1.8700000000000002e-125	414.0
